;City;Gender;variable;value;Numb
396;Sivas-58;M;-25.29;23447;-23447
397;Tekirdağ-59;M;-25.29;43513;-43513
398;Tokat-60;M;-25.29;20377;-20377
399;Trabzon-61;M;-25.29;28708;-28708
400;Tunceli-62;M;-25.29;5745;-5745
401;Uşak-64;M;-25.29;12232;-12232
402;Van-65;M;-25.29;53920;-53920
403;Yalova-77;M;-25.29;9917;-9917
404;Yozgat-66;M;-25.29;14621;-14621
405;Zonguldak-67;M;-25.29;19349;-19349
406;Adana-1;F;-25.29;80592;80592
407;Adıyaman-2;F;-25.29;23281;23281
408;Afyonkarahisar-3;F;-25.29;24543;24543
409;Ağrı-4;F;-25.29;22424;22424
410;Aksaray-68;F;-25.29;14756;14756
411;Amasya-5;F;-25.29;10144;10144
412;Ankara-6;F;-25.29;221046;221046
413;Antalya-7;F;-25.29;92167;92167
414;Ardahan-75;F;-25.29;3548;3548
415;Artvin-8;F;-25.29;5688;5688
416;Aydın-9;F;-25.29;36456;36456
417;Balıkesir-10;F;-25.29;36439;36439
418;Bartın-74;F;-25.29;6005;6005
419;Batman-72;F;-25.29;27995;27995
420;Bayburt-69;F;-25.29;3116;3116
421;Bilecik-11;F;-25.29;7412;7412
422;Bingöl-12;F;-25.29;12622;12622
423;Bitlis-13;F;-25.29;15597;15597
424;Bolu-14;F;-25.29;10614;10614
425;Burdur-15;F;-25.29;8284;8284
426;Bursa-16;F;-25.29;113287;113287
427;Çanakkale-17;F;-25.29;16360;16360
428;Çankırı-18;F;-25.29;6193;6193
429;Çorum-19;F;-25.29;16673;16673
430;Denizli-20;F;-25.29;34801;34801
431;Diyarbakır-21;F;-25.29;78384;78384
432;Düzce-81;F;-25.29;14573;14573
433;Edirne-22;F;-25.29;12666;12666
434;Elazığ-23;F;-25.29;21393;21393
435;Erzincan-24;F;-25.29;8287;8287
436;Erzurum-25;F;-25.29;29285;29285
437;Eskişehir-26;F;-25.29;31523;31523
438;Gaziantep-27;F;-25.29;80721;80721
439;Giresun-28;F;-25.29;13878;13878
440;Gümüşhane-29;F;-25.29;7073;7073
441;Hakkari-30;F;-25.29;13897;13897
442;Hatay-31;F;-25.29;56155;56155
443;Iğdır-76;F;-25.29;8083;8083
444;Isparta-32;F;-25.29;13786;13786
445;İstanbul-34;F;-25.29;649164;649164
446;İzmir-35;F;-25.29;157531;157531
447;Kahramanmaraş-46;F;-25.29;40746;40746
448;Karabük-78;F;-25.29;8068;8068
449;Karaman-70;F;-25.29;8616;8616
450;Kars-36;F;-25.29;11444;11444
451;Kastamonu-37;F;-25.29;11001;11001
