City;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90+;Gender
Van-65;63707.0;54276.0;53920.0;45075.0;39153.0;28027.0;27320.0;19203.0;17760.0;11920.0;7762.0;5500.0;3549.0;1736.0;1024.0;249.0;M
Yalova-77;9962.0;10581.0;9917.0;9687.0;9980.0;9676.0;9404.0;8354.0;8232.0;7374.0;5709.0;4056.0;2624.0;1444.0;827.0;191.0;M
Yozgat-66;17083.0;17233.0;14621.0;14663.0;14711.0;13321.0;12900.0;12405.0;12702.0;10949.0;9407.0;6974.0;4268.0;2162.0;1668.0;342.0;M
Zonguldak-67;20933.0;21401.0;19349.0;20605.0;24091.0;23695.0;20856.0;19519.0;19734.0;18233.0;14357.0;9051.0;5199.0;2867.0;1788.0;377.0;M
Adana-1;84024.0;80295.0;80592.0;82956.0;87954.0;81395.0;75371.0;62905.0;60161.0;48575.0;38304.0;27956.0;17199.0;10966.0;6322.0;2843.0;F
Adıyaman-2;27824.0;25378.0;23281.0;22311.0;22301.0;19510.0;17985.0;13312.0;12307.0;9984.0;9001.0;7428.0;4832.0;3150.0;1788.0;1205.0;F
Afyonkarahisar-3;28204.0;29874.0;24543.0;25791.0;26091.0;24344.0;23277.0;21163.0;22047.0;18211.0;15168.0;11923.0;8521.0;5718.0;3183.0;1042.0;F
Ağrı-4;29578.0;24639.0;22424.0;16643.0;15460.0;11076.0;11383.0;6922.0;7967.0;5944.0;5273.0;3862.0;2486.0;1505.0;809.0;451.0;F
Aksaray-68;16770.0;18329.0;14756.0;15127.0;15038.0;13942.0;13362.0;10479.0;10328.0;8675.0;6927.0;6486.0;3835.0;2636.0;1246.0;528.0;F
Amasya-5;11638.0;11460.0;10144.0;11104.0;11809.0;11201.0;11078.0;10609.0;11573.0;9649.0;8364.0;7358.0;5218.0;3507.0;2128.0;750.0;F
Ankara-6;194269.0;215646.0;221046.0;231416.0;239837.0;222934.0;206136.0;176359.0;162398.0;126590.0;95642.0;71859.0;47740.0;31599.0;19252.0;8674.0;F
Antalya-7;81402.0;86426.0;92167.0;101026.0;108947.0;101409.0;94572.0;77548.0;71192.0;54938.0;41263.0;30116.0;19791.0;12253.0;7560.0;3094.0;F
Ardahan-75;3613.0;3959.0;3548.0;2965.0;2940.0;2663.0;2877.0;2348.0;2578.0;2237.0;1965.0;1895.0;1499.0;766.0;489.0;216.0;F
Artvin-8;5313.0;6393.0;5688.0;5411.0;5391.0;5017.0;5811.0;5451.0;5754.0;5516.0;4434.0;3967.0;3102.0;1892.0;1403.0;668.0;F
Aydın-9;35668.0;39415.0;36456.0;37296.0;40916.0;39782.0;38231.0;36083.0;37524.0;33919.0;26536.0;20683.0;14136.0;10247.0;6482.0;2530.0;F
Balıkesir-10;35622.0;38764.0;36439.0;39292.0;43934.0;44242.0;44662.0;43895.0;45196.0;40594.0;33653.0;26260.0;19145.0;12739.0;7283.0;2752.0;F
Bartın-74;7207.0;7895.0;6005.0;6219.0;7268.0;7125.0;6925.0;6650.0;7128.0;6482.0;5309.0;4241.0;2779.0;1633.0;1201.0;423.0;F
Batman-72;32484.0;28314.0;27995.0;22193.0;20422.0;16334.0;13665.0;9592.0;7866.0;5942.0;5278.0;4383.0;2780.0;1845.0;1186.0;874.0;F
Bayburt-69;3996.0;5528.0;3116.0;2763.0;2473.0;2103.0;2487.0;1996.0;2071.0;1861.0;1538.0;1291.0;944.0;695.0;422.0;261.0;F
Bilecik-11;7170.0;8789.0;7412.0;7779.0;8117.0;7432.0;7327.0;6585.0;6693.0;5537.0;4292.0;3487.0;2838.0;1948.0;1161.0;424.0;F
Bingöl-12;11860.0;13453.0;12622.0;11117.0;10069.0;8329.0;7970.0;5463.0;5392.0;4383.0;3517.0;2925.0;1946.0;1234.0;721.0;420.0;F
Bitlis-13;18297.0;16466.0;15597.0;11812.0;10275.0;7744.0;8059.0;5288.0;5233.0;4126.0;3631.0;2896.0;1824.0;1014.0;626.0;497.0;F
Bolu-14;11715.0;15031.0;10614.0;10362.0;11598.0;10938.0;10596.0;9398.0;9667.0;8764.0;7322.0;5934.0;4584.0;2876.0;2048.0;746.0;F
Burdur-15;9407.0;11559.0;8284.0;8164.0;8667.0;8717.0;8884.0;8433.0;9120.0;8216.0;7008.0;5763.0;4144.0;3063.0;2089.0;823.0;F
Bursa-16;97886.0;105105.0;113287.0;120181.0;130180.0;117919.0;109833.0;92961.0;87394.0;72222.0;55343.0;41628.0;28043.0;18114.0;10485.0;3913.0;F
Çanakkale-17;16798.0;20163.0;16360.0;17385.0;20074.0;19134.0;19021.0;18410.0;18856.0;17351.0;14454.0;11328.0;8240.0;5794.0;3373.0;1307.0;F
Çankırı-18;6424.0;7895.0;6193.0;5862.0;5893.0;5579.0;5912.0;6081.0;6823.0;6078.0;5529.0;4446.0;3455.0;2146.0;1360.0;467.0;F
Çorum-19;18156.0;17957.0;16673.0;16833.0;18754.0;18236.0;17836.0;15698.0;17469.0;15535.0;13713.0;12067.0;8472.0;5302.0;3306.0;1374.0;F
Denizli-20;35393.0;37675.0;34801.0;37439.0;42344.0;40540.0;36212.0;32808.0;31564.0;25773.0;20696.0;17043.0;11367.0;8102.0;5123.0;1795.0;F
Diyarbakır-21;84695.0;76255.0;78384.0;67764.0;62035.0;49386.0;42334.0;31131.0;26642.0;18523.0;16306.0;12992.0;8628.0;5825.0;3918.0;2032.0;F
Düzce-81;14587.0;16611.0;14573.0;14073.0;14845.0;13746.0;13419.0;11239.0;11603.0;9729.0;7146.0;5672.0;3859.0;2580.0;1513.0;700.0;F
